sample,dissolved H2O wt%,dissolved CO2 ppm,wt% SiO2,wt% TiO2,wt% Al2O3,wt% FeO,wt% MnO,wt% MgO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,Pressure (bar),XfH2O
LL7_115_A,0.186950797683723,331.279194645019,49.279,2.01,11.687,11.336,0.179,12.568,10.003,2.119,0.316,0.143,208,0.024
LL7_115_B,0.189871691028073,462.880178585167,49.762,2.066,11.528,11.331,0.198,12.121,9.773,2.247,0.346,0.265,308,0.016
LL7_114,0.174575327974654,659.162325408938,49.22,2.121,11.372,11.337,0.156,12.629,9.979,2.162,0.38,0.296,434,0.01
LL7_111_A,0.181598629497161,802.396054470528,49.561,1.972,11.289,11.331,0.204,13.075,9.436,2.201,0.355,0.224,537,0.009
LL7_108,0.1956100684144,275.494166578451,49.585,2.282,12.839,11.344,0.144,9.906,10.463,2.348,0.477,0.243,179,0.03
LL7_203,0.184010751005299,668.471769455734,49.191,1.958,11.521,11.333,0.156,12.796,9.703,2.263,0.393,0.33,355,0.013
LL7_248,0.181004663942306,498.174040972727,49.357,2.139,11.761,11.33,0.19,12.229,9.825,2.192,0.404,0.218,288,0.016
LL7_287,0.188616309727405,212.67220261055,50.028,2.525,11.953,11.331,0.167,10.29,10.301,2.328,0.476,0.237,126,0.039
LL7_290_C,0.186786941895995,262.669729277557,49.598,2.142,11.897,11.334,0.163,11.625,10.205,2.07,0.352,0.256,175,0.028
LL7_290_B,0.191057138994473,418.659384642386,49.316,2.218,12.237,11.34,0.169,11.173,10.382,2.176,0.405,0.222,294,0.017
LL7_111_B,0.195789342306091,1011.58991363527,49.446,1.915,11.52,11.335,0.135,13.147,9.437,2.174,0.307,0.218,613,0.009
LL4_13,0.271667428581998,1471.934962213,50.101,2.966,13.543,11.341,0.222,7.754,10.32,2.646,0.495,0.164,1406,0.007
LL4_39a,0.281405139500473,133.230691598088,51.545,2.096,13.725,11.485,0.16,6.867,10.366,2.65,0.354,0.297,94,0.11
LL7_116,0.15758787388876,748.897424951327,49.428,2.457,11.701,11.334,0.186,11.498,10.149,2.166,0.484,0.267,561,0.006
LL7_282,0.172332740518631,828.077051054153,49.37,1.96,11.364,11.332,0.153,13.283,9.632,2.058,0.298,0.207,445,0.01
LL4_19c,0.304390163906914,237.66454750702,51.117,2.512,13.435,11.434,0.239,7.526,10.17,2.435,0.382,0.276,208,0.057
LL4_14_a,0.288360785103653,268.473591732552,51.005,3.402,13.206,11.909,0.199,6.424,9.504,2.766,0.725,0.391,240,0.045
LL4_14_d,0.283330833776221,259.443889902015,51.207,3.4,12.999,12.0,0.223,6.541,9.508,2.622,0.66,0.377,229,0.046
